"start","end"
2018-12-24,2019-01-06
2019-01-07,2019-01-20
2019-01-21,2019-02-03
2019-02-04,2019-02-17
2019-02-18,2019-03-03
2019-03-04,2019-03-17
2019-03-18,2019-03-31
2019-04-01,2019-04-14
2019-04-15,2019-04-28
2019-04-29,2019-05-12
2019-05-13,2019-05-26
2019-05-27,2019-06-09
2019-06-10,2019-06-23
2019-06-24,2019-07-07
2019-07-08,2019-07-21
2019-07-22,2019-08-04
2019-08-05,2019-08-18
2019-08-19,2019-09-01
2019-09-02,2019-09-15
2019-09-16,2019-09-29
2019-09-30,2019-10-13
2019-10-14,2019-10-27
2019-10-28,2019-11-10
2019-11-11,2019-11-24
2019-11-25,2019-12-08
2019-12-09,2019-12-22
2019-12-23,2020-01-05
2020-01-06,2020-01-19
2020-01-20,2020-02-02
2020-02-03,2020-02-16
2020-02-17,2020-03-01
2020-03-02,2020-03-15
2020-03-02,2020-03-15
2020-03-16,2020-03-29
2020-03-30,2020-04-12
2020-04-13,2020-04-26
2020-04-27,2020-05-10
2020-05-11,2020-05-24
2020-05-25,2020-06-07
2020-06-08,2020-06-21
2020-06-22,2020-07-05
2020-07-06,2020-07-19
2020-07-20,2020-08-02
2020-08-03,2020-08-16
2020-08-17,2020-08-30
2020-08-31,2020-09-13
2020-09-14,2020-09-27
2020-09-28,2020-10-11
2020-10-12,2020-10-25
2020-10-26,2020-11-08
2020-11-09,2020-11-22
2020-11-23,2020-12-06
2020-12-07,2020-12-20
2020-12-21,2021-01-03
2021-01-04,2021-01-17
2021-01-18,2021-01-31
2021-02-01,2021-02-14
2021-02-15,2021-02-28
2021-03-01,2021-03-14
2021-03-15,2021-03-28
2021-03-29,2021-04-11
2021-04-12,2021-04-25
2021-04-26,2021-05-09
2021-05-10,2021-05-23
2021-05-24,2021-06-06
2021-06-07,2021-06-20
2021-06-21,2021-07-04
2021-07-05,2021-07-18
2021-07-19,2021-08-01
2021-08-02,2021-08-15
2021-08-16,2021-08-29
2021-08-30,2021-09-12
2021-09-13,2021-09-26
2021-09-27,2021-10-10
2021-10-11,2021-10-24
2021-10-25,2021-11-07
2021-11-08,2021-11-21
2021-11-22,2021-12-05
2021-12-06,2021-12-19
2021-12-20,2022-01-02
2022-01-03,2022-01-16
2022-01-17,2022-01-30
